TABLE:  Time History Plot,,,,,,,,
Time,st1,st2,st3,st4,st5,st6,st7,st8
sec,mm,mm,mm,mm,mm,mm,mm,mm
0,0,0,0,0,0,0,0,0
0.1,-0.106,-0.263,-0.367,-0.43,-0.464,-0.457,-0.44,-0.453
0.2,-0.339,-0.778,-1.179,-1.513,-1.807,-2.182,-2.774,-3.749
0.3,-0.717,-1.47,-2.254,-3.376,-4.861,-6.632,-8.49,-10.226
0.4,-1.41,-3.47,-5.892,-8.423,-10.856,-13.253,-15.451,-16.934
0.5,-1.942,-4.906,-8.507,-12.383,-15.877,-18.478,-20.309,-22.549
0.6,-2.043,-4.826,-7.753,-10.965,-14.863,-19.946,-25.462,-30.159
0.7,-0.28,-2.116,-5.663,-10.649,-16.278,-22.422,-29.723,-38.048
0.8,-0.991,-3.237,-6.514,-11.438,-18.095,-25.67,-32.315,-37.234
0.9,1.8,1.5,-1.169,-4.831,-8.334,-12.072,-16.732,-21.903
1,3.274,7.863,12.31,15.277,16.212,15.222,13.998,13.548
1.1,7.912,16.872,25.59,34.456,43.715,52.981,61.75,69.431
1.2,5.957,17.141,32.474,50.749,70.294,90.083,109.17,126.16
1.3,4.719,15.693,32.705,55.074,80.806,108.017,134.167,159.067
1.4,12.33,28.745,46.102,65.944,89.963,119.471,152.495,186.409
1.5,14.632,36.479,63.036,93.996,125.603,156.727,187.437,218.488
1.6,17.929,46.231,80.129,118.237,157.505,196.448,231.716,261.199
1.7,11.783,36.611,70.187,109.843,151.959,195.403,238.96,281.147
1.8,-2.494,3.876,20.646,50.252,90.566,138.117,187.781,236.498
1.9,-8.763,-15.239,-15.262,-5.884,13.796,45.734,88.152,133.565
2,7.386,11.738,11.658,9.047,6.996,6.755,7.155,7.281
2.1,20.097,39.76,52.965,54.237,39.862,7.977,-36.322,-82.961
2.2,17.739,34.654,43.544,39.412,21.784,-8.042,-46.149,-86.974
2.3,-10.256,-23.913,-36.565,-45.632,-50.736,-52.498,-52.702,-53.047
2.4,-25.123,-52.508,-75.143,-88.798,-90.272,-77.624,-52.702,-21.937
2.5,-19.378,-41.795,-61.327,-74.351,-78.553,-74.991,-67.135,-58.459
2.6,4.429,5.386,0.845,-11.611,-31.732,-58.469,-87.594,-116.414
2.7,17.073,30.729,34.606,24.404,-0.583,-41.017,-92.911,-148.149
2.8,0.398,-0.87,-5.132,-15.579,-33.713,-60.235,-92.917,-126.842
2.9,-23.386,-50.961,-76.6,-96.733,-108.036,-108.716,-100.481,-88.053
3,-36.591,-78.854,-115.773,-140.957,-151.105,-146.373,-130.905,-111.268
3.1,-17.886,-43.166,-71.492,-101.096,-129.288,-154.73,-176.176,-194.955
3.2,5.243,2.271,-12.3,-42.838,-88.71,-149.084,-218.239,-288.272
3.3,10.828,12.186,-1.127,-33.236,-82.909,-149.901,-228.729,-310.344
3.4,-11.196,-30.28,-54.753,-86.17,-124.132,-168.371,-215.178,-259.764
3.5,-32.02,-72.102,-112.046,-147.06,-171.771,-183.709,-185.379,-182.667
3.6,-27.858,-64.936,-101.743,-131.013,-148.393,-152.752,-145.741,-132.239
3.7,3.924,4.022,-1.078,-12.179,-28.651,-50.134,-74.802,-100.893
3.8,30.936,64.757,90.902,101.115,91.649,62.037,17.619,-32.424
3.9,29.928,64.298,94.687,117.898,131.46,133.989,127.748,118.63
4,0.51,11.053,33.563,69.886,117.468,175.387,239.385,303.68
4.1,-15.055,-16.286,2.532,46.827,116.149,210.071,318.578,428.002
4.2,5.38,22.228,52.565,101.845,168.546,250.903,342.497,434.831
4.3,31.932,81.447,138.405,196.132,247.875,291.934,329.17,362.604
4.4,34.837,83.522,135.32,184.332,224.565,252.485,266.643,270.822
4.5,7.313,21.84,41.731,66.224,92.657,121.134,152.906,186.1
4.6,-18.042,-38.892,-55.161,-58.39,-44.747,-15.11,23.264,62.577
4.7,-16.351,-37.19,-57.442,-75.593,-89.447,-95.25,-90.737,-78.615
4.8,3.993,0.03,-13.678,-38.036,-71.067,-112.893,-162.266,-214.059
4.9,4.253,2.539,-8.015,-34.556,-79.976,-145.141,-223.005,-303.165
5,-5.314,-23.622,-55.035,-99.265,-151.234,-209.011,-269.814,-331.594
5.1,-30.913,-74.113,-121.238,-169.704,-216.268,-259.644,-296.564,-326.14
5.2,-36.042,-85.384,-138.006,-188.729,-231.624,-264.794,-289.139,-308.417
5.3,-21.587,-53.191,-90.851,-134.274,-179.187,-223.547,-265.774,-306.067
5.4,1.509,-7.521,-27.474,-59.909,-105.281,-165.67,-237.297,-311.527
5.5,17.603,26.037,19.349,-6.679,-50.74,-108.935,-173.407,-236.791
5.6,3.451,5.718,4.732,-1.659,-13.364,-29.676,-49.454,-68.968
5.7,-16.758,-29.576,-32.034,-20.096,5.482,42.173,84.713,127.639
5.8,-5.852,-5.619,3.458,26.651,66.44,124.192,195.143,268.123
5.9,18.585,50.094,89.961,136.852,185.958,234.462,279.55,320.416
6,37.805,91.394,150.671,209.525,260.54,301.901,335.932,367.514
